addr:city
addr:conscriptionnumber
addr:country
addr:district
addr:flats
addr:full
addr:hamlet
addr:housename
addr:housenumber
addr:inclusion
addr:interpolation
addr:place
addr:postcode
addr:province
addr:state
addr:street
addr:subdistrict
addr:suburb
